Name,SIZE,EXERCISE,SIZE_OF_HOME,GROOMING,COAT_LENGTH,SHEDS,LIFESPAN,VULNERABLE_NATIVE_BREED,TOWN_OR_COUNTRY,SIZE_OF_GARDEN
kerry_blue_terrier,Medium,Up to 1 hour per day,Small house,Once a week,Medium,No,Over 10 years,Yes,Either,Small/ medium garden
komondor,Large,Up to 1 hour per day,Large house,More than once a week,Long,No,Under 10 years,No,Country,Large garden
kuvasz,Large,1-2 hours per day,Country,High,Long,Yes,10-12 years,Yes,Country,Very large
labrador_retriever,Medium ,1-2 hours per day,House with yard,High,Medium,Yes,10-13 years,No,Town or country,Large
lakeland_terrier,Small,Up to 1 hour per day,Small house,More than once a week,Short,No,Over 12 years,Yes,Either,Small/ medium garden
leonberg,Large,More than 2 hours per day,Large house,Once a week,Medium,Yes,Under 10 years,No,Country,Large garden
lhasa,Small,Up to 1 hour per day,Flat/ Apartment,Every day,Long,No,Over 12 years,No,Either,Small/ medium garden
malamute,Large,1-2 hours per day,Country,High,Thick,Yes,10-12 years,Yes,Country,Very large
malinois,Medium ,1-2 hours per day,House with yard,High,Short,Yes,12-14 years,No,Town or country,Medium 
maltese_dog,Small,Up to 30 minutes per day,Flat/ Apartment,Every day,Long,No,Over 12 years,No,Either,Small/ medium garden
mexican_hairless,Small ,30 minutes per day,Apartment,Low,None,No,12-15 years,No,Town or country,small garden
miniature_pinscher,Small,Up to 30 minutes per day,Flat/ Apartment,Once a week,Short,Yes,Over 12 years,No,Either,Small/ medium garden
miniature_poodle,Small,30 minutes per day,Apartment,High,Curly,Yes,10-14 years,No,Town or country,small garden
miniature_schnauzer,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,No,Over 10 years,No,Either,Small/ medium garden
newfoundland,Large,Up to 1 hour per day,Large house,Every day,Medium,Yes,Under 10 years,No,Country,Large garden
norfolk_terrier,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 10 years,No,Either,Small/ medium garden
norwegian_elkhound,Medium ,1 hour per day,Apartment or house with yard,High,Thick,Yes,12-15 years,No,Town or country,Medium 
norwich_terrier,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 10 years,Yes,Either,Small/ medium garden
old_english_sheepdog,Large,More than 2 hours per day,Large house,Every day,Long,Yes,Over 10 years,Yes,Either,Large garden
otterhound,Large,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,Yes,Country,Large garden
papillon,Small,Up to 30 minutes per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,No garden
pekinese,Small,Up to 30 minutes per day,Flat/ Apartment,Every day,Long,Yes,Over 12 years,No,Either,Small/ medium garden
pembroke,Medium,30 minutes-1 hour per day,Apartment or house with yard,Moderate,Medium,Yes,12-15 years,No,Town or country,Medium
pomeranian,Small,Up to 30 minutes per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
pug,Small,Up to 1 hour per day,Flat/ Apartment,Once a week,Short,Yes,Over 10 years,No,Either,Small/ medium garden
redbone,Large,High,House,Moderate,Short,Yes,10-12 years,No,Country,Medium
